Name,Coverage
BK11_02,45.0901
BK11_02,63.6087
BK11_02,67.2163
BK11_02,71.2413
BK11_02,74.4696
BK11_02,88.4477
BK11_02,91.2029
BK11_02,100.9713
BK11_02,112.706
BK11_02,121.2248
BK11_02,121.7729
BK11_02,126.1769
BK11_02,126.2169
BK11_02,127.5299
BK11_02,131.5241
BK11_02,131.7703
BK11_02,134.099
BK11_02,136.6808
BK11_02,139.7754
BK11_02,141.3971
BK11_02,142.3159
BK11_02,145.3966
BK11_02,150.1471
BK11_02,151.8989
BK11_02,153.3863
BK11_02,157.2645
BK11_02,157.6612
BK11_02,158.6648
BK11_02,159.1612
BK11_02,167.1516
BK11_02,176.5675
BK11_02,176.8008
BK11_02,177.036
BK11_02,177.1198
BK11_02,178.7806
BK11_02,186.382
BK11_02,186.5763
BK11_02,186.9849
BK11_02,186.9946
BK11_02,193.9664
BK11_02,194.8539
BK11_02,198.427
BK11_02,199.0539
BK11_02,203.307
BK11_02,205.5871
BK11_02,205.6756
BK11_02,205.7902
BK11_02,206.7098
BK11_02,211.3058
BK11_02,213.1669
BK11_02,214.7945
BK11_02,215.4452
BK11_02,219.5181
BK11_02,220.1365
BK11_02,226.8756
BK11_02,227.4921
BK11_02,229.2345
BK11_02,237.7757
BK11_02,248.2885
BK11_02,248.952
BK11_02,249.526
BK11_02,251.0248
BK11_02,252.5613
BK11_02,254.4676
BK11_02,254.541
BK11_02,255.8422
BK11_02,258.11
BK11_02,258.5974
BK11_02,259.9946
BK11_02,264.5462
BK11_02,266.266
BK11_02,274.4131
BK11_02,274.6214
BK11_02,276.5254
BK11_02,278.2001
BK11_02,278.9466
BK11_02,294.4093
BK11_02,297.6095
BK11_02,298.7625
BK11_02,302.8826
BK11_02,307.7933
BK11_02,308.2938
BK11_02,311.1698
BK11_02,311.9128
BK11_02,315.8757
BK11_02,320.774
BK11_02,328.6369
BK11_02,328.8811
BK11_02,332.8184
BK11_02,332.9674
BK11_02,336.7866
BK11_02,341.0684
BK11_02,341.6518
BK11_02,359.9136
BK11_02,364.1337
BK11_02,364.439
BK11_02,364.8666
BK11_02,368.8317
BK11_02,393.2062
BK11_02,396.2534
BK11_02,406.769
BK11_02,409.2449
BK11_02,411.9541
BK11_02,414.3992
BK11_02,415.4598
BK11_02,430.4227
BK11_02,434.5578
BK11_02,434.7177
BK11_02,444.4032
BK11_02,454.5684
BK11_02,456.8467
BK11_02,459.3353
BK11_02,464.2093
BK11_02,469.3995
BK11_02,486.8039
BK11_02,499.8325
BK11_02,505.6205
BK11_02,507.0102
BK11_02,527.1152
BK11_02,542.3805
BK11_02,582.0489
BK11_02,652.8261
BK11_02,752.3458
BK11_02,1002.8257
BK11_02,1034.5967
BK11_02,1055.8312
BK11_02,1235.0973
BK11_02,1335.0658
BK11_02,1382.7132
BK11_02,115.5567
BK11_02,100.2334
BK11_02,104.0208
BK11_02,124.132
BK11_02,103.0706
BK11_02,97.5493
BK11_02,109.8737
BK11_02,108.0728
BK11_02,97.0493
BK11_02,112.3049
BK11_02,108.9497
BK11_02,110.6669
BK11_02,107.2935
BK11_02,113.062
BK11_02,104.0178
BK11_02,103.7854
BK11_02,97.6493
BK11_02,103.48
BK11_02,103.7805
BK11_02,94.5029
BK11_02,113.1598
BK11_02,83.1592
BK11_02,113.5865
BK11_02,108.2874
BK11_02,102.0789
BK11_02,91.936
BK11_02,104.8751
BK11_02,115.7466
BK11_02,322.1866
BK11_02,116.0117
BK11_02,91.5341
BK11_02,97.61
BK11_02,115.3749
BK11_02,94.3891
BK11_02,126.6654
BK11_02,102.0325
BK11_02,145.9637
BK11_02,121.9402
BK11_02,93.6265
BK11_02,98.6138
BK11_02,116.4968
BK11_02,94.0384
BK11_02,94.2589
BK11_02,94.7512
BK11_02,114.1201
BK11_02,101.7752
BK11_02,101.2412
BK11_02,108.3539
BK11_02,105.1999
BK11_02,100.7137
BK11_02,103.6976
BK11_02,96.8078
BK11_02,102.0506
BK11_02,108.2906
BK11_02,102.1327
BK11_02,94.4428
BK11_02,117.6051
BK11_02,97.1312
BK11_02,105.9949
BK11_02,98.2758
BK11_02,96.1906
BK11_02,133.1925
BK11_02,101.3831
BK11_02,114.4477
BK11_02,105.9305
BK11_02,80.2498
BK11_02,112.4292
BK11_02,95.7294
BK11_02,97.2965
BK11_02,108.0188
BK11_02,104.279
BK11_02,92.9167
BK11_02,109.8705
BK11_02,160.2283
BK11_02,95.5115
BK11_02,90.7762
BK11_02,117.4073
BK11_02,103.8583
BK11_02,113.1548
BK11_02,102.7132
BK11_02,122.6856
BK11_02,109.9954
BK11_02,116.9264
BK11_02,109.8334
BK11_02,92.2582
BK11_02,93.9417
BK11_02,100.5097
BK11_02,111.0969
BK11_02,91.8598
BK11_02,100.1785
BK11_02,91.449
BK11_02,99.6925
BK11_02,103.6183
BK11_02,99.2185
BK11_02,108.4853
BK11_02,112.1158
BK11_02,98.1947
BK11_02,104.4521
BK11_02,99.4721
BK11_02,136.0164
BK11_02,105.9902
BK11_02,100.4857
BK11_02,108.3719
BK11_02,104.2135
BK11_02,96.5726
BK11_02,116.2435
BK11_02,87.6763
BK11_02,105.2775
BK11_02,105.214
BK11_02,89.3407
BK11_02,91.6543
BK11_02,93.9167
BK11_02,100.1761
BK11_02,107.0492
BK11_02,95.8353
BK11_02,82.2602
BK11_02,97.7642
BK11_02,107.9497
BK11_02,121.5501
BK11_02,93.8539
BK11_02,107.6684
BK11_02,115.6464
BK11_02,99.7406
BK11_02,132.8403
BK11_02,108.5815
BK11_02,102.827
BK11_02,113.4832
BK11_02,106.6265
BK11_02,85.824
BK11_02,104.737
BK11_02,107.282
BK11_02,108.7995
BK11_02,151.1281
BK11_02,97.7715
BK11_02,94.1754
BK11_02,112.4269
BK11_02,99.6549
BK11_02,101.5565
BK11_02,95.9145
BK11_02,110.5289
BK11_02,97.0466
BK11_02,104.3762
BK11_02,100.5542
BK11_02,93.9725
BK11_02,91.346
BK11_02,104.7565
BK11_02,104.6148
BK11_02,114.9496
BK11_02,143.0756
BK11_02,94.9871
BK11_02,119.8904
BK11_02,109.3929
BK11_02,135.7679
BK11_02,99.0709
BK11_02,98.6916
BK11_02,109.6722
BK11_02,135.8559
BK11_02,108.2142
BK11_02,116.1766
BK11_02,99.8422
BK11_02,113.0866
BK11_02,103.3307
BK11_02,94.9668
BK11_02,126.5478
BK11_02,118.2282
BK11_02,100.6041
BK11_02,148.2921
BK11_02,84.4859
BK11_02,93.5595
BK11_02,134.3825
BK11_02,101.6118
BK11_02,100.3326
BK11_02,131.3364
BK11_02,101.0041
BK11_02,147.9031
BK11_02,105.3252
BK11_02,111.644
BK11_02,88.1321
BK11_02,77.8139
BK11_02,108.6436
BK11_02,103.6076
BK11_02,101.2194
BK11_02,109.3953
BK11_02,113.7629
BK11_02,92.8577
BK11_02,89.9259
BK11_02,110.866
BK11_02,106.2289
BK11_02,91.1449
BK11_02,104.3175
BK11_02,113.4187
BK11_02,93.8352
BK11_02,97.1724
BK11_02,97.2626
BK11_02,106.794
BK11_02,117.2815
BK11_02,113.563
BK11_02,115.1918
BK11_02,105.5647
BK11_02,147.5067
BK11_02,90.3606
BK11_02,123.043
BK11_02,95.605
BK11_02,99.2011
BK11_02,114.9968
BK11_02,137.2756
BK11_02,119.2239
BK11_02,120.2903
BK11_02,122.8966
BK11_02,121.2623
BK11_02,98.7857
BK11_02,98.8528
BK11_02,107.4567
BK11_02,114.5087
BK11_02,99.9905
BK11_02,97.1541
BK11_02,116.4477
BK11_02,108.594
BK11_02,95.8015
BK11_02,97.2108
BK11_02,93.1045
BK11_02,109.9165
BK11_02,87.372
BK11_02,102.5826
BK11_02,90.4455
BK11_02,106.4955
BK11_02,113.8788
BK11_02,113.9855
BK11_02,113.5328
BK11_02,110.6532
BK11_02,99.8079
BK11_02,91.5437
BK11_02,109.5766
BK11_02,108.2338
BK11_02,118.8369
BK11_02,101.405
BK11_02,111.7149
BK11_02,105.6267
BK11_02,102.5418
BK11_02,88.0812
BK11_02,109.1
BK11_02,86.3387
BK11_02,88.7895
BK11_02,99.9569
BK11_02,95.6393
BK11_02,101.7544
BK11_02,82.673
BK11_02,121.4793
BK11_02,171.4106
BK11_02,111.1122
BK11_02,214.2821
BK11_02,95.049
BK11_02,91.7281
BK11_02,91.6578
BK11_02,107.352
BK11_02,97.0526
BK11_02,94.2639
BK11_02,99.3733
BK11_02,104.0323
BK11_02,94.0459
BK11_02,106.3247
BK11_02,103.7509
BK11_02,99.8863
BK11_02,105.1827
BK11_02,121.9746
BK11_02,291.9393
BK11_02,119.0719
BK11_02,100.1304
BK11_02,85.3271
BK11_02,96.8476
BK11_02,92.4015
BK11_02,101.1567
BK11_02,85.7172
BK11_02,95.913
BK11_02,101.7588
BK11_02,105.3695
BK11_02,89.013
BK11_02,97.3751
BK11_02,121.664
BK11_02,282.5535
BK11_02,96.9305
BK11_02,95.947
BK11_02,88.9862
BK11_02,117.1612
BK11_02,99.6636
BK11_02,118.9801
BK11_02,92.6738
BK11_02,99.6483
BK11_02,86.3946
BK11_02,146.3841
BK11_02,128.0127
BK11_02,109.1448
BK11_02,111.1333
BK11_02,100.1698
BK11_02,132.9046
BK11_02,86.56
BK11_02,110.259
BK11_02,94.8657
BK11_02,109.3072
BK11_02,100.6916
BK11_02,95.4334
BK11_02,79.7342
BK11_02,97.4333
BK11_02,126.6353
BK11_02,99.1459
BK11_02,88.2127
BK11_02,127.7097
BK11_02,86.9565
BK11_02,110.8613
BK11_02,105.0692
BK11_02,179.2783
BK11_02,90.7887
BK11_02,100.0592
BK11_02,81.5668
BK11_02,104.8729
BK11_02,103.1697
BK11_02,75.4224
BK11_02,90.4992
BK11_02,173.2146
BK11_02,103.1716
BK11_02,116.6727
BK11_02,100.8376
BK11_02,92.0567
BK11_02,111.0372
BK11_02,113.4064
BK11_02,99.93
BK11_02,101.3227
BK11_02,83.0489
BK11_02,94.9752
BK11_02,112.5342
BK11_02,99.1703
BK11_02,77.5436
